Estado;Cantidad;Precio
Compra;0.00234;21278.58
Venta;0.00234;21282.49
Compra;0.00234;21280.66
Venta;0.00234;21283.0
Compra;0.00234;21279.89
Venta;0.00234;21283.6
Compra;0.00234;21281.72
Venta;0.00234;21283.47
Compra;0.00234;21278.44
Venta;0.00234;21280.24
Compra;0.00234;21277.95
Venta;0.00234;21280.76
Compra;0.00234;21278.32
Venta;0.00234;21281.28
Compra;0.00234;21278.79
Venta;0.00234;21282.0
Compra;0.00234;21280.18
Venta;0.00234;21283.01
Compra;0.00234;21279.12
Venta;0.00234;21284.76
Compra;0.00234;21279.36
Venta;0.00234;21283.83
Compra;0.00234;21280.31
Venta;0.00234;21282.5
Compra;0.00234;21280.77
Venta;0.00234;21283.8
Compra;0.00234;21278.08
Venta;0.00234;21280.07
Compra;0.00234;21277.05
Venta;0.00234;21279.47
Compra;0.00234;21277.47
Venta;0.00234;21279.24
Compra;0.00234;21277.45
Venta;0.00234;21281.05
Compra;0.00234;21275.12
Venta;0.00234;21277.06
Compra;0.00234;21272.02
Venta;0.00234;21274.75
Compra;0.00234;21271.74
Venta;0.00234;21273.68
Compra;0.00234;21271.78
Venta;0.00234;21274.47
Compra;0.00234;21272.5
Venta;0.00234;21275.0
Compra;0.00234;21272.3
Venta;0.00234;21274.3
Compra;0.00234;21272.39
Venta;0.00234;21274.16
Compra;0.00234;21272.12
Venta;0.00234;21275.47
Compra;0.00234;21273.14
Venta;0.00234;21275.11
Compra;0.00234;21273.17
Venta;0.00234;21275.59
Compra;0.00234;21273.68
Venta;0.00234;21276.86
Compra;0.00234;21275.09
Venta;0.00234;21276.91
Compra;0.00234;21275.12
Venta;0.00234;21277.48
Compra;0.00234;21275.63
Venta;0.00234;21279.12
Compra;0.00234;21277.12
Venta;0.00234;21280.77
Compra;0.00234;21279.06
Venta;0.00234;21281.22
Compra;0.00234;21278.93
Venta;0.00234;21281.91
Compra;0.00234;21279.74
Venta;0.00234;21283.6
Compra;0.00234;21281.25
Venta;0.00234;21283.64
Compra;0.00234;21281.86
Venta;0.00234;21283.57
Compra;0.00234;21281.55
Venta;0.00234;21284.5
Compra;0.00234;21279.5
Venta;0.00234;21281.39
Compra;0.00234;21278.71
Venta;0.00234;21281.51
Compra;0.00234;21276.37
Venta;0.00234;21279.07
Compra;0.00234;21276.55
Venta;0.00234;21279.61
Compra;0.00234;21276.2
Venta;0.00234;21278.79
Compra;0.00234;21276.42
Venta;0.00234;21282.36
Compra;0.00234;21279.2
Venta;0.00234;21281.01
Compra;0.00234;21278.58
Venta;0.00234;21280.43
Compra;0.00234;21278.72
Venta;0.00234;21280.49
Compra;0.00234;21271.3
Venta;0.00234;21274.19
Compra;0.00234;21272.13
Venta;0.00234;21275.06
Compra;0.00234;21273.23
Venta;0.00234;21275.62
Compra;0.00234;21272.69
Venta;0.00234;21274.63
Compra;0.00234;21272.63
Venta;0.00234;21274.65
Compra;0.00234;21272.76
Venta;0.00234;21274.54
Compra;0.00234;21266.98
Venta;0.00234;21268.99
Compra;0.00234;21265.28
Venta;0.00234;21269.35
Compra;0.00234;21267.35
Venta;0.00234;21269.16
Compra;0.00234;21266.68
Venta;0.00234;21268.64
Compra;0.00234;21265.42
Venta;0.00234;21267.73
Compra;0.00234;21265.89
Venta;0.00234;21267.94
Compra;0.00234;21265.63
Venta;0.00234;21269.16
Compra;0.00234;21266.26
Venta;0.00234;21271.27
Compra;0.00234;21268.75
Venta;0.00234;21270.97
Compra;0.00234;21269.17
Venta;0.00234;21270.9
Compra;0.00234;21262.73
Venta;0.00234;21264.59
Compra;0.00234;21262.34
Venta;0.00234;21264.07
Compra;0.00234;21261.97
Venta;0.00234;21264.37
Compra;0.00234;21262.3
Venta;0.00234;21264.88
Compra;0.00234;21262.8
Venta;0.00234;21264.63
Compra;0.00234;21262.91
Venta;0.00234;21264.66
Compra;0.00234;21254.65
Venta;0.00234;21257.2
Compra;0.00234;21253.41
Venta;0.00234;21256.51
Compra;0.00234;21254.77
Venta;0.00234;21257.87
Compra;0.00234;21255.66
Venta;0.00234;21258.25
Compra;0.00234;21256.24
Venta;0.00234;21259.63
Compra;0.00234;21256.75
Venta;0.00234;21258.55
Compra;0.00234;21256.28
Venta;0.00234;21259.96
Compra;0.00234;21256.87
Venta;0.00234;21259.19
Compra;0.00234;21257.27
Venta;0.00234;21262.36
Compra;0.00234;21257.97
Venta;0.00234;21259.9
Compra;0.00234;21257.65
Venta;0.00234;21263.72
Compra;0.00234;21260.67
Venta;0.00234;21263.75
Compra;0.00234;21261.39
Venta;0.00234;21268.86
Compra;0.00234;21264.15
Venta;0.00234;21265.96
