Estado;Cantidad;Precio
Compra;0.364;82.4
Venta;0.364;82.5
Compra;0.364;82.4
Venta;0.364;82.5
Compra;0.364;82.4
Venta;0.364;82.5
Compra;0.364;82.4
Venta;0.364;82.5
Compra;0.364;82.4
Venta;0.364;82.5
Compra;0.364;82.4
