Estado;Cantidad;Precio
Compra;0.00294;23798.09
Venta;0.00294;23822.62
Compra;0.00294;23803.07
Venta;0.00294;23826.88
Compra;0.00294;23804.02
Venta;0.00294;23835.08
Compra;0.00294;23815.53
Venta;0.00294;23841.53
Compra;0.00294;23821.21
Venta;0.00294;23845.39
Compra;0.00294;23825.74
Venta;0.00294;23849.73
Compra;0.00294;23829.49
Venta;0.00294;23854.48
Compra;0.00294;23834.39
Venta;0.00294;23868.0
Compra;0.00294;23845.22
Venta;0.00294;23870.0
Compra;0.00294;23850.43
Venta;0.00294;23874.77
